O,C,E,A,N,Cluster
30.0,27.0,27.0,32.0,23.0,Education & Social Work
33.0,36.0,33.0,31.0,30.0,"Sales, Marketing & Management"
35.0,38.0,27.0,33.0,39.0,Education & Social Work
36.0,34.0,33.0,35.0,36.0,"Sales, Marketing & Management"
39.0,34.0,36.0,34.0,30.0,"Sales, Marketing & Management"
35.0,33.0,28.0,30.0,33.0,Education & Social Work
33.0,30.0,35.0,26.0,25.0,Suitable for any job
30.0,28.0,30.0,37.0,26.0,Education & Social Work
27.0,23.0,30.0,25.0,24.0,Suitable for any job
37.0,38.0,35.0,39.0,37.0,"Sales, Marketing & Management"
35.0,30.0,29.0,29.0,33.0,Suitable for any job
35.0,30.0,24.0,32.0,40.0,Education & Social Work
31.0,31.0,29.0,30.0,27.0,Education & Social Work
28.0,29.0,33.0,33.0,33.0,Suitable for any job
30.0,29.0,30.0,29.0,32.0,Suitable for any job
35.0,32.0,27.0,32.0,25.0,Education & Social Work
34.0,24.0,30.0,29.0,37.0,Suitable for any job
36.0,30.0,28.0,32.0,26.0,Education & Social Work
23.0,35.0,34.0,31.0,33.0,"Sales, Marketing & Management"
37.0,31.0,26.0,32.0,40.0,Education & Social Work
35.0,32.0,33.0,34.0,32.0,"Sales, Marketing & Management"
30.0,30.0,30.0,31.0,32.0,"Sales, Marketing & Management"
35.0,31.0,30.0,29.0,26.0,Suitable for any job
40.0,26.0,35.0,30.0,27.0,Education & Social Work
30.0,30.0,31.0,29.0,36.0,Suitable for any job
30.0,33.0,31.0,34.0,35.0,"Sales, Marketing & Management"
36.0,31.0,30.0,34.0,29.0,"Sales, Marketing & Management"
42.0,33.0,26.0,27.0,27.0,Suitable for any job
33.0,33.0,32.0,30.0,40.0,"Sales, Marketing & Management"
35.0,31.0,29.0,36.0,26.0,Education & Social Work
30.0,28.0,28.0,30.0,33.0,Education & Social Work
33.0,35.0,35.0,31.0,36.0,"Sales, Marketing & Management"
35.0,35.0,34.0,32.0,27.0,"Sales, Marketing & Management"
39.0,36.0,30.0,26.0,27.0,Suitable for any job
35.0,31.0,32.0,29.0,20.0,High-Pressure & Leadership Roles
35.0,30.0,33.0,33.0,29.0,"Sales, Marketing & Management"
28.0,28.0,28.0,32.0,33.0,Suitable for any job
36.0,35.0,25.0,29.0,27.0,Suitable for any job
33.0,38.0,32.0,31.0,24.0,"Sales, Marketing & Management"
35.0,21.0,29.0,29.0,20.0,Suitable for any job
32.0,34.0,25.0,31.0,40.0,Education & Social Work
34.0,26.0,35.0,35.0,36.0,Education & Social Work
31.0,31.0,32.0,29.0,21.0,Suitable for any job
34.0,29.0,30.0,34.0,42.0,Education & Social Work
29.0,30.0,33.0,24.0,30.0,Suitable for any job
35.0,25.0,30.0,37.0,27.0,Education & Social Work
34.0,31.0,31.0,33.0,29.0,"Sales, Marketing & Management"
36.0,35.0,31.0,34.0,32.0,"Sales, Marketing & Management"
30.0,32.0,29.0,31.0,28.0,Education & Social Work
31.0,32.0,32.0,32.0,32.0,"Sales, Marketing & Management"
42.0,34.0,42.0,39.0,44.0,"Sales, Marketing & Management"
34.0,27.0,29.0,26.0,26.0,Suitable for any job
33.0,34.0,30.0,25.0,27.0,Suitable for any job
37.0,30.0,30.0,28.0,22.0,Suitable for any job
34.0,29.0,32.0,39.0,16.0,Education & Social Work
35.0,31.0,32.0,34.0,39.0,"Sales, Marketing & Management"
36.0,30.0,28.0,30.0,28.0,Education & Social Work
31.0,27.0,37.0,33.0,32.0,Education & Social Work
33.0,30.0,35.0,32.0,29.0,"Sales, Marketing & Management"
29.0,25.0,27.0,32.0,35.0,Suitable for any job
32.0,28.0,30.0,41.0,25.0,Education & Social Work
33.0,33.0,29.0,27.0,29.0,Suitable for any job
33.0,22.0,32.0,33.0,30.0,Education & Social Work
30.0,32.0,30.0,33.0,31.0,"Sales, Marketing & Management"
36.0,28.0,28.0,35.0,35.0,Education & Social Work
28.0,34.0,34.0,36.0,27.0,"Sales, Marketing & Management"
33.0,32.0,30.0,35.0,37.0,"Sales, Marketing & Management"
35.0,30.0,36.0,35.0,28.0,"Sales, Marketing & Management"
33.0,29.0,31.0,33.0,30.0,Education & Social Work
35.0,28.0,28.0,34.0,33.0,Education & Social Work
37.0,36.0,31.0,37.0,23.0,"Sales, Marketing & Management"
22.0,32.0,26.0,32.0,42.0,Suitable for any job
31.0,36.0,28.0,36.0,25.0,Education & Social Work
37.0,32.0,35.0,35.0,29.0,"Sales, Marketing & Management"
34.0,35.0,33.0,31.0,29.0,"Sales, Marketing & Management"
24.0,31.0,26.0,26.0,35.0,Suitable for any job
30.0,40.0,25.0,35.0,26.0,Education & Social Work
29.0,29.0,31.0,29.0,37.0,Suitable for any job
32.0,26.0,31.0,31.0,39.0,Education & Social Work
31.0,28.0,33.0,31.0,24.0,Education & Social Work
30.0,29.0,31.0,32.0,28.0,Education & Social Work
31.0,29.0,25.0,33.0,29.0,Education & Social Work
31.0,33.0,29.0,33.0,29.0,Education & Social Work
24.0,30.0,29.0,33.0,37.0,Suitable for any job
35.0,29.0,27.0,25.0,25.0,Suitable for any job
33.0,40.0,36.0,37.0,45.0,"Sales, Marketing & Management"
29.0,30.0,30.0,36.0,33.0,"Sales, Marketing & Management"
35.0,27.0,36.0,36.0,31.0,Education & Social Work
36.0,34.0,31.0,35.0,30.0,"Sales, Marketing & Management"
31.0,34.0,29.0,27.0,27.0,Suitable for any job
38.0,22.0,29.0,32.0,31.0,Education & Social Work
28.0,37.0,32.0,35.0,31.0,"Sales, Marketing & Management"
26.0,37.0,30.0,34.0,34.0,"Sales, Marketing & Management"
30.0,33.0,40.0,28.0,22.0,Suitable for any job
42.0,37.0,37.0,42.0,42.0,"Sales, Marketing & Management"
